"screen_name","lat","lon"
"realDonaldTrump",40.7624409,-73.9749942
"dgbstudio",34.02102365,-118.37333404
"AppaloosaGuy",37.47472222,-84.51194444
"24hrRock",53.40430612,-2.99147945
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaUS",38.8991,-77.029
"realDonaldTrump",40.7624841,-73.9749944
"AppaloosaGuy",37.47472222,-84.51194444
"harukasu0v0",35.66282887,139.70053174
"WashingtonCP",38.90181532,-77.03733586
"erol_tonga",41.06815149,28.99237678
"shaneayounglaw",40.76805556,-73.98194444
"AppaloosaGuy",37.47472222,-84.51194444
"MontrealCP",45.50644992,-73.57086325
"MemphisCP",35.14414333,-90.04617767
"jslauria",38.89461,-77.02708
"trendinaliaCA",56.9547,-98.309
"Jovanasubotom",45.25469868,19.84957996
"ImNoTouchscreen",-3.746589,-38.480551
"JennL78",32.93028625,-97.22699275
"DicqPeer",41.06853091,28.99238438
"MrLeoDeJesus",32.1241,-81.3072
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"joanie109",30.29604685,-89.77176124
"AppaloosaGuy",37.47472222,-84.51194444
"aGuyonClematis",26.71318231,-80.05009566
"LilVirginiaCard",38.88269058,-77.22385232
"marcocanavarro",-23.02577125,-43.48494765
"ruthymunoz",38.89461,-77.02708
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaUS",38.8991,-77.029
"dimitribouniol",33.83580554,-118.00161837
"analia_unf",30.33926277,-81.57508013
"erol_tonga",41.06853287,28.99242964
"m_mullins77",32.87693016,-97.38896755
"erol_tonga",41.06853287,28.99242964
"erol_tonga",41.06853287,28.99242964
"edthedoc",52.66666667,1
"AppaloosaGuy",37.47472222,-84.51194444
"faisalmohammedi",41.87251551,-87.62479807
"RamonFaye",32.63071357,-97.04004113
"himaIia",49.07021387,6.14639746
"Yannis69",42.07207207,-87.91733504
"rttnappl",35.56719852,-78.52995281
"harrisj",39.02659527,-77.07232169
"baralheia",35.5011083,-97.5040396
"Sonikku_a",39.63016299,-119.87827772
"Starraisin",34.04152956,-118.26902552
